角色名,别名,启用,初登场年份（类型：ordered）,初登场作品（类型：exact-close）,发色（类型：exact-multi）,是敌人吗？（仅整数非对战新作）（类型：category-multi）,自机次数（新作，不含支援、召唤）（类型：ordered）,所属地点（类型：category-multi）,种族（类型：category-multi）,封面人物次数（不含体验版、《外来韦编》、旧作）（类型：ordered）
博丽灵梦,,是,1997,东方灵异传 > 东方红魔乡 | 东方妖妖梦 | 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方风神录 | 东方儚月抄 | 东方绯想天 | 东方地灵殿 | 东方星莲船 | 东方茨歌仙 | 东方文花帖（书籍） | 东方文花帖DS | 东方神灵庙 | 东方铃奈庵 | 东方辉针城 | 东方心绮楼 | 东方绀珠传 | 东方深秘录 | 东方天空璋 | 东方凭依华 | 东方醉蝶华 | 东方鬼形兽 | 东方虹龙洞 | 东方刚欲异闻 | 东方智灵奇传 | 东方兽王园 | 东方锦上京,黑/棕色,是 > 是第4~6面,22,博丽神社,人类,30
雾雨魔理沙,,是,1997,东方封魔录 > 东方红魔乡 | 东方妖妖梦 | 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方风神录 | 东方儚月抄 | 东方绯想天 | 东方地灵殿 | 东方星莲船 | 东方茨歌仙 | 东方文花帖（书籍） | 东方文花帖DS | 东方神灵庙 | 东方铃奈庵 | 东方辉针城 | 东方心绮楼 | 东方绀珠传 | 东方深秘录 | 东方天空璋 | 东方凭依华 | 东方醉蝶华 | 东方鬼形兽 | 东方虹龙洞 | 东方刚欲异闻 | 东方智灵奇传 | 东方兽王园 | 东方锦上京,金色,是 > 是第4~6面,23,魔法森林,人类,22
大妖精,,是,2002,东方红魔乡,绿色,是 > 是第1~3面,0,其他/不定,妖怪 > 妖精,0
芙兰朵露·斯卡蕾特,,是,2002,东方红魔乡 > 东方求闻史纪 | 东方文花帖（书籍） | 东方刚欲异闻 | 东方智灵奇传,金色,是 > 是EX/PH面,1,雾之湖周边 > 红魔馆,妖怪 > 吸血鬼,3
红美铃,,是,2002,东方红魔乡 > 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方文花帖（书籍） | 东方智灵奇传,红色,是 > 是第1~3面,2,雾之湖周边 > 红魔馆,妖怪,0
蕾米莉亚·斯卡蕾特,,是,2002,东方红魔乡 > 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方智灵奇传,蓝色,是 > 是第4~6面,4,雾之湖周边 > 红魔馆,妖怪 > 吸血鬼,0
露米娅,,是,2002,东方红魔乡 > 东方求闻史纪 | 东方文花帖（书籍）,金色,是 > 是第1~3面,0,其他/不定,妖怪,0
帕秋莉·诺蕾姬,,是,2002,东方红魔乡 > 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方智灵奇传,紫色,是 > 是第4~6面 | 是 > 是EX/PH面,3,雾之湖周边 > 红魔馆,妖怪 > 魔法使,0
琪露诺,,是,2002,东方红魔乡 > 东方妖妖梦 | 东方花映塚 | 东方三月精 | 东方求闻史纪 | 东方文花帖（书籍） | 东方辉针城 | 东方天空璋,蓝色,是 > 是第1~3面,4,雾之湖周边 > 雾之湖,妖怪 > 妖精,3
十六夜咲夜,,是,2002,东方红魔乡 > 东方妖妖梦 | 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方花映塚 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方辉针城 | 东方醉蝶华 | 东方虹龙洞 | 东方智灵奇传,银/白/灰色,是 > 是第4~6面,8,雾之湖周边 > 红魔馆,人类,1
小恶魔,,是,2002,东方红魔乡,红色,是 > 是第4~6面,0,雾之湖周边 > 红魔馆,妖怪,0
爱丽丝·玛格特洛依德,,是,2003,东方妖妖梦 > 东方永夜抄 | 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方绯想天 | 东方文花帖（书籍） | 东方智灵奇传,金色,是 > 是第1~3面,4,魔法森林,妖怪 > 魔法使,0
八云蓝,,是,2003,东方妖妖梦 > 东方永夜抄 | 东方香霖堂 | 东方求闻史纪 | 东方儚月抄 | 东方文花帖（书籍） | 东方智灵奇传 | 东方兽王园,金色,是 > 是EX/PH面,1,其他/不定,妖怪 > 妖兽,0
八云紫,,是,2003,东方妖妖梦 > 东方永夜抄 | 东方香霖堂 | 东方萃梦想 | 东方三月精 | 东方求闻史纪 | 东方儚月抄 | 东方绯想天 | 东方文花帖（书籍） | 东方铃奈庵 | 东方凭依华 | 东方智灵奇传,金色,是 > 是EX/PH面,5,其他/不定,妖怪,6
